This is a comma-delimited file constructed by integrating
records from multiple sources. The variables are:
Protraction, Region, Gas, Oil, Date
   Bay  Marchand  Area,central,,,2002-07-01
Bay Marchand Area,CENTRAL35102,"46,686",2002-08-01
   Bay  Marchand  Area,central25184,"44,118",2002-09-01
Bay Marchand Area,CENTRAL21167,"51,838",2002-10-01
Bay Marchand Area,CENTRAL53032,"50,689",2002-11-01
Bay Marchand Area,Central71378,"44,732",2002-12-01
   Bay  Marchand  Area,central26210,"27,331",2003-01-01
Bay Marchand Area,Central46586,"31,115",2003-02-01
Bay Marchand Area,CENTRAL51710,"48,197",2003-03-01
   Bay  Marchand  Area,central36612,"43,527",2003-04-01
Bay Marchand Area,CENTRAL32173,"42,057",2003-05-01
Bay Marchand Area,Central22550,"40,321",2003-06-01
   Bay  Marchand  Area,central22594,"35,812",2003-07-01
   Bay  Marchand  Area,central27307,"25,712",2003-08-01
   Bay  Marchand  Area,central17711,"21,255",2003-09-01
Bay Marchand Area,CENTRAL17263,"21,934",2003-10-01
   Bay  Marchand  Area,CENTRAL14031,"20,430"
Bay Marchand Area,CENTRAL13156,"29,710",2003-12-01
   Bay  Marchand  Area,central18499,"26,662",2004-01-01
   Bay  Marchand  Area,central14850,"23,266",2004-02-01
Bay Marchand Area,CENTRAL16864,"24,035",2004-03-01
   Bay  Marchand  Area,CENTRAL117056,"15,773"
Bay Marchand Area,Central109148,"11,181",2004-05-01
Bay Marchand Area,Central89577,"16,997",2004-06-01
Bay Marchand Area,Central56277,"28,37O",2004-07-01
   Bay  Marchand  Area,central7553,"19,594",2004-08-01
Bay Marchand Area,CENTRAL2818,"7,034",2004-09-01
   Bay  Marchand  Area,Central4119,"11,771",2004-10-01
Bay Marchand Area,Central6225,"15,511",2004-11-01
   Bay  Marchand  Area,central,,,2004-12-01
   Bay  Marchand  Area,Central2872,"6,748",2005-01-01
   Bay  Marchand  Area,central,,,2005-02-01
Bay Marchand Area,CENTRAL142419,"11,308",2005-03-01
   Bay  Marchand  Area,central,,,2005-04-01
Bay Marchand Area,Central104574,"12,133",2005-05-01
Bay Marchand Area,Central146512,"16,O2O",2005-06-01
   Bay  Marchand  Area,CEntral
Bay Marchand Area,Central139924,"14,51O",2005-08-01
   Bay  Marchand  Area,central,,,2005-09-01
   Bay  Marchand  Area,CENTRAL1494,220
   Bay  Marchand  Area,CEntral148,0
Bay Marchand Area,Central8543,O,2005-12-01
   Bay  Marchand  Area,central39761,621,2006-01-01
Bay Marchand Area,Central6400,396,2006-02-01
Breton Sound Area,CENTRAL320917,"78,063",1996-01-01
   Breton  Sound  Area,CENTRAL311543,"60,793"
Breton Sound Area,Central296003,"76,O6O",1996-03-01
   Breton  Sound  Area,CEntral285629,"77,032"
   Breton  Sound  Area,central,,,1996-05-01
Breton Sound Area,Central227027,"46,928",1996-06-01
   Breton  Sound  Area,central231605,"69,246",1996-07-01
   Breton  Sound  Area,central,,,1996-08-01
   Breton  Sound  Area,CEntral
   Breton  Sound  Area,CEntral
   Breton  Sound  Area,CEntral
   Breton  Sound  Area,central203716,"78,378",1996-12-01
   Breton  Sound  Area,central273331,"90,057",1997-01-01
Breton Sound Area,CENTRAL291552,"87,843",1997-02-01
Breton Sound Area,Central424720,"112,565",1997-03-01
Breton Sound Area,CENTRAL876078,"136,049",1997-04-01
   Breton  Sound  Area,central780622,"135,413",1997-05-01
   Breton  Sound  Area,CEntral
Breton Sound Area,CENTRAL478189,"116,764",1997-07-01
   Breton  Sound  Area,CEntral
Breton Sound Area,Central604698,"123,383",1997-09-01
   Breton  Sound  Area,Central547361,"129,672",1997-10-01
   Breton  Sound  Area,CEntral
Breton Sound Area,Central448302,"116,577",1997-12-01
   Breton  Sound  Area,central516430,"116,930",1998-01-01
   Breton  Sound  Area,central,,,1998-02-01
   Breton  Sound  Area,CEntral759456,"124,732"
   Breton  Sound  Area,central563242,"97,798",1998-04-01
Breton Sound Area,CENTRAL793068,"112,128",1998-05-01
Breton Sound Area,CENTRAL817399,"116,462",1998-06-01
Breton Sound Area,CENTRAL599967,"113,653",1998-07-01
   Breton  Sound  Area,CENTRAL584817,"118,444"
Breton Sound Area,Central355941,"59,438",1998-09-01
Breton Sound Area,Central352389,"84,47O",1998-10-01
   Breton  Sound  Area,CEntral
   Breton  Sound  Area,central437796,"78,425",1998-12-01
   Breton  Sound  Area,Central247313,"73,353",1999-01-01
Breton Sound Area,CENTRAL328849,"74,673",1999-02-01
   Breton  Sound  Area,CENTRAL381570,"79,478"
   Breton  Sound  Area,central374185,"71,928",1999-04-01
Breton Sound Area,Central411809,"66,665",1999-05-01
   Breton  Sound  Area,CEntral
   Breton  Sound  Area,CEntral
Breton Sound Area,Central544096,"69,713",1999-08-01
Breton Sound Area,Central503792,"7O,183",1999-09-01
   Breton  Sound  Area,Central742502,"69,478",1999-10-01
   Breton  Sound  Area,central785910,"62,765",1999-11-01
   Breton  Sound  Area,Central738311,"59,285",1999-12-01
Breton Sound Area,CENTRAL646154,"61,379",2000-01-01
   Breton  Sound  Area,central658492,"50,879",2000-02-01
Breton Sound Area,Central807644,"55,414",2000-03-01
   Breton  Sound  Area,CENTRAL853350,"74,476"
Breton Sound Area,Central833661,"93,893",2000-05-01
   Breton  Sound  Area,Central659948,"75,892",2000-06-01
   Breton  Sound  Area,Central654281,"76,517",2000-07-01
   Breton  Sound  Area,central691419,"72,469",2000-08-01
Breton Sound Area,CENTRAL653834,"61,619",2000-09-01
Breton Sound Area,CENTRAL866352,"90,646",2000-10-01
   Breton  Sound  Area,CENTRAL928566,"78,635"
Breton Sound Area,Central952713,"75,O28",2000-12-01
Breton Sound Area,Central898016,"85,043",2001-01-01
Breton Sound Area,CENTRAL821698,"80,499",2001-02-01
Breton Sound Area,Central890464,"8O,347",2001-03-01
   Breton  Sound  Area,CEntral
   Breton  Sound  Area,CEntral813493,"71,324"
Breton Sound Area,Central745775,"69,503",2001-06-01
Breton Sound Area,Central674152,"5O,6O5",2001-07-01
Breton Sound Area,Central635318,"64,32O",2001-08-01
Breton Sound Area,Central456369,"52,857",2001-09-01
   Breton  Sound  Area,central,,,2001-10-01
Breton Sound Area,Central408078,"43,137",2001-11-01
Breton Sound Area,Central418237,"50,836",2001-12-01
   Breton  Sound  Area,CEntral
Breton Sound Area,Central443973,"43,9O7",2002-02-01
Breton Sound Area,Central581166,"58,296",2002-03-01
Breton Sound Area,Central743914,"62,289",2002-04-01
Breton Sound Area,Central732395,"56,727",2002-05-01
Breton Sound Area,Central693637,"56,961",2002-06-01
Breton Sound Area,Central714849,"61,75O",2002-07-01
Breton Sound Area,Central664614,"68,008",2002-08-01
   Breton  Sound  Area,central583443,"67,373",2002-09-01
   Breton  Sound  Area,CENTRAL544046,"82,355"
   Breton  Sound  Area,CEntral
   Breton  Sound  Area,central530009,"92,812",2002-12-01
Breton Sound Area,CENTRAL565525,"87,230",2003-01-01
   Breton  Sound  Area,CENTRAL479797,"69,696"
Breton Sound Area,CENTRAL605247,"78,080",2003-03-01
   Breton  Sound  Area,central543853,"71,007",2003-04-01
   Breton  Sound  Area,central,,,2003-05-01
Breton Sound Area,CENTRAL514615,"68,296",2003-06-01
   Breton  Sound  Area,central,,,2003-07-01
   Breton  Sound  Area,CENTRAL405290,"70,519"
Breton Sound Area,CENTRAL339204,"58,792",2003-09-01
   Breton  Sound  Area,Central409873,"68,954",2003-10-01
Breton Sound Area,Central443545,"81,917",2003-11-01
   Breton  Sound  Area,CENTRAL383096,"79,355"
   Breton  Sound  Area,central,,,2004-01-01
Breton Sound Area,Central481070,"69,149",2004-02-01
   Breton  Sound  Area,CENTRAL689173,"94,920"
Breton Sound Area,CENTRAL677425,"89,355",2004-04-01
Breton Sound Area,Central600450,"96,799",2004-05-01
   Breton  Sound  Area,central522900,"84,157",2004-06-01
   Breton  Sound  Area,central,,,2004-07-01
   Breton  Sound  Area,central,,,2004-08-01
   Breton  Sound  Area,central699973,"55,363",2004-09-01
   Breton  Sound  Area,central,,,2004-10-01
   Breton  Sound  Area,CEntral1396865,"106,515"
Breton Sound Area,Central972619,"95,329",2004-12-01
   Breton  Sound  Area,central,,,2005-01-01
Breton Sound Area,CENTRAL1043852,"96,292",2005-02-01
   Breton  Sound  Area,central,,,2005-03-01
Breton Sound Area,Central996434,"1O6,895",2005-04-01
Breton Sound Area,CENTRAL1022720,"95,177",2005-05-01
Breton Sound Area,Central970749,"87,327",2005-06-01
   Breton  Sound  Area,central,,,2005-07-01
Breton Sound Area,CENTRAL673847,"57,660",2005-08-01
   Breton  Sound  Area,CENTRAL,.
Breton Sound Area,Central,.,2005-10-01
   Breton  Sound  Area,central103128,"38,536",2005-11-01
   Breton  Sound  Area,CEntral151256,"62,563"
Breton Sound Area,CENTRAL184632,"65,536",2006-01-01
   Breton  Sound  Area,Central138790,"56,931",2006-02-01
Breton Sound Area,CENTRAL15839,"5,827",2006-03-01
Chandeleur Area,CENTRAL994942,64,1996-01-01
Chandeleur Area,Central1060279,48,1996-02-01
Chandeleur Area,Central1220226,83,1996-03-01
   Chandeleur  Area,CEntral1160380,67
   Chandeleur  Area,CEntral
   Chandeleur  Area,central978640,61,1996-06-01
   Chandeleur  Area,central932571,108,1996-07-01
   Chandeleur  Area,CEntral
   Chandeleur  Area,Central1075081,62,1996-09-01
Chandeleur Area,CENTRAL772973,50,1996-10-01
Chandeleur Area,Central734466,55,1996-11-01
   Chandeleur  Area,CEntral
Chandeleur Area,CENTRAL1686102,62,1997-01-01
   Chandeleur  Area,CEntral
   Chandeleur  Area,central,,,1997-03-01
   Chandeleur  Area,central1525570,46,1997-04-01
Chandeleur Area,CENTRAL1441697,60,1997-05-01
   Chandeleur  Area,Central1382631,35,1997-06-01
   Chandeleur  Area,central1092559,45,1997-07-01
   Chandeleur  Area,central,,,1997-08-01
Chandeleur Area,Central1229100,51,1997-09-01
Chandeleur Area,Central1086606,34,1997-10-01
Chandeleur Area,Central1178156,4O,1997-11-01
   Chandeleur  Area,central,,,1997-12-01
   Chandeleur  Area,central1171381,32,1998-01-01
   Chandeleur  Area,central,,,1998-02-01
Chandeleur Area,CENTRAL1028526,48,1998-03-01
Chandeleur Area,CENTRAL1001576,27,1998-04-01
   Chandeleur  Area,central943142,17,1998-05-01
Chandeleur Area,Central918409,25,1998-06-01
Chandeleur Area,Central841727,19,1998-07-01
Chandeleur Area,Central811359,18,1998-08-01
Chandeleur Area,Central499276,21,1998-09-01
   Chandeleur  Area,Central664579,28,1998-10-01
   Chandeleur  Area,Central683986,30,1998-11-01
Chandeleur Area,CENTRAL682727,37,1998-12-01
Chandeleur Area,Central599703,21,1999-01-01
   Chandeleur  Area,CEntral526720,29
   Chandeleur  Area,central,,,1999-03-01
Chandeleur Area,Central480269,14,1999-04-01
Chandeleur Area,Central477268,17,1999-05-01
Chandeleur Area,Central454776,8,1999-06-01
Chandeleur Area,Central375181,2,1999-07-01
Chandeleur Area,Central447182,1,1999-08-01
Chandeleur Area,Central414992,3,1999-09-01
Chandeleur Area,CENTRAL388870,15,1999-10-01
   Chandeleur  Area,central,,,1999-11-01
   Chandeleur  Area,CEntral361908,15
   Chandeleur  Area,CEntral342712,8
   Chandeleur  Area,central322707,5,2000-02-01
Chandeleur Area,Central331805,8,2000-03-01
   Chandeleur  Area,central304013,45,2000-04-01
   Chandeleur  Area,central,,,2000-05-01
Chandeleur Area,Central313255,18,2000-06-01
Chandeleur Area,CENTRAL320993,20,2000-07-01
Chandeleur Area,Central318912,28,2000-08-01
   Chandeleur  Area,central,,,2000-09-01
Chandeleur Area,Central309396,5,2000-10-01
Chandeleur Area,Central287993,19,2000-11-01
Chandeleur Area,CENTRAL468674,35,2000-12-01
   Chandeleur  Area,CEntral
   Chandeleur  Area,CENTRAL457804,65
Chandeleur Area,Central507018,72,2001-03-01
Chandeleur Area,Central459829,21,2001-04-01
Chandeleur Area,Central459286,65,2001-05-01
   Chandeleur  Area,central407587,47,2001-06-01
   Chandeleur  Area,central426617,35,2001-07-01
Chandeleur Area,Central403023,39,2001-08-01
   Chandeleur  Area,CEntral
   Chandeleur  Area,central402413,40,2001-10-01
Chandeleur Area,CENTRAL374209,49,2001-11-01
   Chandeleur  Area,CEntral
Chandeleur Area,Central493203,58,2002-01-01
Chandeleur Area,CENTRAL397270,73,2002-02-01
   Chandeleur  Area,CEntral414008,41
   Chandeleur  Area,central419915,105,2002-04-01
Chandeleur Area,Central368708,142,2002-05-01
   Chandeleur  Area,central370579,90,2002-06-01
Chandeleur Area,CENTRAL351434,71,2002-07-01
   Chandeleur  Area,CEntral327321,73
   Chandeleur  Area,central,,,2002-09-01
   Chandeleur  Area,CEntral
Chandeleur Area,Central268122,45,2002-11-01
   Chandeleur  Area,central267260,40,2002-12-01
   Chandeleur  Area,CEntral
   Chandeleur  Area,central,,,2003-02-01
Chandeleur Area,Central285044,8,2003-03-01
   Chandeleur  Area,central242284,9,2003-04-01
   Chandeleur  Area,central257806,9,2003-05-01
Chandeleur Area,CENTRAL208463,13,2003-06-01
Chandeleur Area,CENTRAL90102,2,2003-07-01
   Chandeleur  Area,CENTRAL149015,7
Chandeleur Area,Central186598,14,2003-09-01
   Chandeleur  Area,Central137496,19,2003-10-01
   Chandeleur  Area,CEntral
Chandeleur Area,Central114440,6O,2003-12-01
   Chandeleur  Area,central136562,14,2004-01-01
Chandeleur Area,Central314518,16,2004-02-01
   Chandeleur  Area,central434566,28,2004-03-01
   Chandeleur  Area,Central427621,18,2004-04-01
Chandeleur Area,CENTRAL453249,178,2004-05-01
   Chandeleur  Area,CEntral
   Chandeleur  Area,CEntral413413,27
Chandeleur Area,Central579900,4O,2004-08-01
Chandeleur Area,Central284504,4,2004-09-01
Chandeleur Area,Central572530,12,2004-10-01
   Chandeleur  Area,central490757,26,2004-11-01
   Chandeleur  Area,Central313948,1,2004-12-01
   Chandeleur  Area,central496393,0,2005-01-01
Chandeleur Area,CENTRAL536806,0,2005-02-01
Chandeleur Area,CENTRAL610556,0,2005-03-01
Chandeleur Area,Central614375,O,2005-04-01
Chandeleur Area,Central573255,O,2005-05-01
   Chandeleur  Area,central568989,0,2005-06-01
   Chandeleur  Area,CENTRAL491462,0
Chandeleur Area,Central457477,O,2005-08-01
Chandeleur Area,Central107756,0,2005-09-01
Chandeleur Area,CENTRAL396642,0,2005-10-01
   Chandeleur  Area,CEntral271143,0
Chandeleur Area,Central265053,O,2005-12-01
Chandeleur Area,Central196399,O,2006-01-01
   Chandeleur  Area,Central169128,0,2006-02-01
   Chandeleur  Area,central191359,0,2006-03-01
East Cameron Area,Central21063143,"828,811",1996-01-01
East Cameron Area,CENTRAL20497105,"810,653",1996-02-01
East Cameron Area,Central22801299,"852,514",1996-03-01
   East  Cameron  Area,CEntral21782632,"764,091"
East Cameron Area,Central22332622,"8OO,182",1996-05-01
East Cameron Area,Central22838613,"720,979",1996-06-01
   East  Cameron  Area,central,,,1996-07-01
East Cameron Area,Central22730121,"787,608",1996-08-01
   East  Cameron  Area,CENTRAL21760581,"743,544"
East Cameron Area,CENTRAL21469025,"761,526",1996-10-01
   East  Cameron  Area,central,,,1996-11-01
   East  Cameron  Area,central,,,1996-12-01
   East  Cameron  Area,CEntral
   East  Cameron  Area,central19700965,"646,601",1997-02-01
East Cameron Area,Central22264871,"685,469",1997-03-01
   East  Cameron  Area,CEntral
   East  Cameron  Area,CEntral
East Cameron Area,CENTRAL25718512,"835,550",1997-06-01
East Cameron Area,CENTRAL26367176,"906,825",1997-07-01
East Cameron Area,Central25524941,"942,4O6",1997-08-01
East Cameron Area,CENTRAL22346511,"850,159",1997-09-01
East Cameron Area,Central22632132,"868,487",1997-10-01
   East  Cameron  Area,central,,,1997-11-01
East Cameron Area,Central23121170,"799,735",1997-12-01
   East  Cameron  Area,central22583695,"749,426",1998-01-01
East Cameron Area,Central20967643,"665,242",1998-02-01
East Cameron Area,Central22846279,"827,234",1998-03-01
East Cameron Area,CENTRAL22589299,"817,452",1998-04-01
   East  Cameron  Area,CENTRAL23407904,"863,901"
   East  Cameron  Area,CEntral
   East  Cameron  Area,Central25440431,"892,621",1998-07-01
   East  Cameron  Area,CENTRAL25567667,"818,465"
   East  Cameron  Area,CEntral
   East  Cameron  Area,central23444058,"800,575",1998-10-01
   East  Cameron  Area,central,,,1998-11-01
   East  Cameron  Area,CEntral21861847,"831,203"
East Cameron Area,Central22418402,"812,253",1999-01-01
East Cameron Area,CENTRAL20210798,"685,754",1999-02-01
East Cameron Area,CENTRAL22000178,"736,933",1999-03-01
   East  Cameron  Area,CEntral20490512,"682,599"
   East  Cameron  Area,central20056096,"665,200",1999-05-01
   East  Cameron  Area,CEntral
East Cameron Area,CENTRAL19828730,"701,833",1999-07-01
East Cameron Area,CENTRAL19112077,"651,457",1999-08-01
   East  Cameron  Area,central17427830,"626,190",1999-09-01
East Cameron Area,CENTRAL17155770,"655,337",1999-10-01
East Cameron Area,CENTRAL16918462,"602,346",1999-11-01
East Cameron Area,CENTRAL18250418,"623,797",1999-12-01
East Cameron Area,CENTRAL18745729,"589,068",2000-01-01
East Cameron Area,Central17843683,"559,346",2000-02-01
East Cameron Area,Central19925602,"61O,44O",2000-03-01
   East  Cameron  Area,central19858700,"557,977",2000-04-01
   East  Cameron  Area,central19802185,"510,966",2000-05-01
East Cameron Area,Central20055767,"552,667",2000-06-01
East Cameron Area,Central20616910,"56O,739",2000-07-01
East Cameron Area,Central20310826,"572,772",2000-08-01
East Cameron Area,CENTRAL18963621,"538,378",2000-09-01
East Cameron Area,Central18428648,"534,934",2000-10-01
   East  Cameron  Area,central16853299,"482,069",2000-11-01
East Cameron Area,CENTRAL17235474,"496,318",2000-12-01
   East  Cameron  Area,CEntral
   East  Cameron  Area,central16315068,"427,517",2001-02-01
   East  Cameron  Area,CEntral17235751,"469,249"
   East  Cameron  Area,central16819911,"460,934",2001-04-01
   East  Cameron  Area,Central16960967,"510,137",2001-05-01
East Cameron Area,Central14962262,"391,239",2001-06-01
East Cameron Area,CENTRAL14935343,"457,174",2001-07-01
East Cameron Area,CENTRAL15345842,"462,736",2001-08-01
   East  Cameron  Area,central15276453,"471,576",2001-09-01
East Cameron Area,CENTRAL14611587,"485,857",2001-10-01
   East  Cameron  Area,central13803502,"433,278",2001-11-01
   East  Cameron  Area,central13167117,"404,259",2001-12-01
   East  Cameron  Area,central,,,2002-01-01
East Cameron Area,Central13206919,"43O,1O6",2002-02-01
   East  Cameron  Area,central14983877,"448,078",2002-03-01
East Cameron Area,Central15963315,"5O8,993",2002-04-01
East Cameron Area,Central17740692,"548,8O8",2002-05-01
East Cameron Area,Central16951337,"545,325",2002-06-01
East Cameron Area,Central16592787,"507,786",2002-07-01
East Cameron Area,Central15102140,"496,329",2002-08-01
East Cameron Area,Central13399695,"371,809",2002-09-01
   East  Cameron  Area,CENTRAL12452054,"353,866"
   East  Cameron  Area,CENTRAL14154848,"449,142"
East Cameron Area,Central13610886,"410,499",2002-12-01
East Cameron Area,Central12757029,"406,364",2003-01-01
East Cameron Area,Central11985547,"379,334",2003-02-01
East Cameron Area,CENTRAL14436458,"428,222",2003-03-01
   East  Cameron  Area,Central13734571,"403,878",2003-04-01
East Cameron Area,CENTRAL14699212,"428,693",2003-05-01
   East  Cameron  Area,Central13658699,"417,376",2003-06-01
East Cameron Area,CENTRAL13117073,"357,067",2003-07-01
East Cameron Area,CENTRAL14217505,"408,609",2003-08-01
East Cameron Area,Central13623467,"380,458",2003-09-01
East Cameron Area,Central13948190,"4O3,698",2003-10-01
   East  Cameron  Area,CENTRAL12626846,"378,661"
   East  Cameron  Area,CENTRAL12354344,"381,786"
East Cameron Area,CENTRAL11637690,"391,435",2004-01-01
East Cameron Area,Central11003658,"35O,O36",2004-02-01
   East  Cameron  Area,CEntral
East Cameron Area,Central13026825,"413,337",2004-04-01
East Cameron Area,CENTRAL13701844,"419,500",2004-05-01
East Cameron Area,Central12640641,"379,673",2004-06-01
   East  Cameron  Area,central13676559,"413,072",2004-07-01
   East  Cameron  Area,CEntral
East Cameron Area,Central11344602,"317,892",2004-09-01
   East  Cameron  Area,central,,,2004-10-01
East Cameron Area,Central10904647,"391,O95",2004-11-01
   East  Cameron  Area,central11271527,"404,250",2004-12-01
East Cameron Area,Central10865383,"371,755",2005-01-01
East Cameron Area,Central9077414,"3O7,251",2005-02-01
East Cameron Area,Central10393910,"5O3,7O3",2005-03-01
   East  Cameron  Area,CEntral10619896,"479,792"
East Cameron Area,Central10523916,"433,089",2005-05-01
East Cameron Area,CENTRAL10329118,"449,331",2005-06-01
   East  Cameron  Area,CEntral9681987,"364,382"
East Cameron Area,Central9015259,"3O8,OO7",2005-08-01
East Cameron Area,Central5863040,"176,225",2005-09-01
   East  Cameron  Area,CEntral
East Cameron Area,CENTRAL2624209,"40,967",2005-11-01
   East  Cameron  Area,central3814248,"27,908",2005-12-01
East Cameron Area,Central4636069,"88,28O",2006-01-01
East Cameron Area,CENTRAL4274452,"103,395",2006-02-01
   East  Cameron  Area,CEntral
   Eugene  Island  Area,central44532737,"3,776,478",1996-01-01
   Eugene  Island  Area,central,,,1996-02-01
   Eugene  Island  Area,CEntral
   Eugene  Island  Area,CEntral
Eugene Island Area,CENTRAL43396226,"3,697,131",1996-05-01
   Eugene  Island  Area,CEntral
Eugene Island Area,Central42232447,"3,614,494",1996-07-01
   Eugene  Island  Area,CENTRAL43581070,"3,533,325"
   Eugene  Island  Area,central42140512,"3,425,087",1996-09-01
   Eugene  Island  Area,central,,,1996-10-01
   Eugene  Island  Area,CEntral
   Eugene  Island  Area,CEntral46357921,"3,801,031"
Eugene Island Area,CENTRAL45834839,"3,739,071",1997-01-01
   Eugene  Island  Area,Central39925553,"3,343,200",1997-02-01
   Eugene  Island  Area,CEntral
Eugene Island Area,CENTRAL41151742,"3,390,364",1997-04-01
   Eugene  Island  Area,central,,,1997-05-01
Eugene Island Area,Central39510806,"3,408,193",1997-06-01
Eugene Island Area,Central40268722,"3,357,4O2",1997-07-01
Eugene Island Area,CENTRAL41079631,"3,631,972",1997-08-01
Eugene Island Area,Central42067559,"3,744,O61",1997-09-01
Eugene Island Area,CENTRAL41709004,"3,755,879",1997-10-01
Eugene Island Area,CENTRAL41956178,"3,656,119",1997-11-01
   Eugene  Island  Area,CEntral
   Eugene  Island  Area,central,,,1998-01-01
   Eugene  Island  Area,CEntral
Eugene Island Area,CENTRAL44944692,"3,961,371",1998-03-01
   Eugene  Island  Area,CEntral
   Eugene  Island  Area,central,,,1998-05-01
   Eugene  Island  Area,central,,,1998-06-01
   Eugene  Island  Area,CENTRAL41833637,"3,681,515"
   Eugene  Island  Area,CEntral
   Eugene  Island  Area,central,,,1998-09-01
Eugene Island Area,CENTRAL42412458,"3,587,323",1998-10-01
   Eugene  Island  Area,central,,,1998-11-01
   Eugene  Island  Area,CENTRAL38984592,"3,306,092"
Eugene Island Area,Central39022556,"3,260,857",1999-01-01
   Eugene  Island  Area,CEntral35626120,"2,915,037"
Eugene Island Area,Central37925313,"3,239,614",1999-03-01
Eugene Island Area,CENTRAL36578822,"3,047,125",1999-04-01
Eugene Island Area,Central38218783,"3,063,333",1999-05-01
Eugene Island Area,CENTRAL35663099,"2,929,738",1999-06-01
Eugene Island Area,Central36158482,"3,091,201",1999-07-01
Eugene Island Area,Central35703105,"2,977,O33",1999-08-01
Eugene Island Area,Central34561014,"2,869,612",1999-09-01
