Serial	Metro	County FIPS	Mortgage Payment	Household Income	Home Value
11836	0	0	$250	$26,000	$12,500
11859	1	0	$330	$26,700	$75,000
11986	1	0	$500	$367,000	$45,000
12226	1	0	$360	$10,000	$45,000
12361	1	0	$500	$29,400	$112,500
12470	1	0	$240	$0	$5,000
12479	1	0	$230	$12,500	$17,500
12580	4	73	$280	$12,000	$22,500
12640	1	0	$330	$78,930	$45,000
12711	4	0	$180	$39,000	$32,500
12776	2	0	$300	$14,800	$5,000
12832	2	97	$390	$31,000	$45,000
12892	0	0	$500	$30,600	$55,000
12903	0	0	$740	$38,400	$85,000
12937	1	0	$250	$33,500	$22,500
12977	1	0	$480	$36,000	$55,000
13042	1	0	$850	$46,000	$137,500
13160	2	0	$760	$1,100	$162,500
13299	0	0	$250	$26,000	$5,000
13546	1	0	$300	$6,400	$45,000
13582	2	0	$230	$48,001	$37,500
13598	4	73	$830	$58,000	$65,000
13624	4	73	$330	$41,660	$95,000
13666	4	73	$400	$47,600	$27,500
13681	4	73	$500	$32,000	$112,500
13699	1	0	$200	$49,000	$32,500
13768	3	97	$300	$35,500	$65,000
13777	1	0	$290	$26,300	$5,000
13813	0	0	$350	$15,000	$27,500
13841	0	0	$350	$56,000	$32,500
13958	4	15	$270	$11,900	$5,000
14099	4	0	$300	$61,000	$12,500
14132	1	0	$550	$36,000	$112,500
14229	1	0	$300	$20,000	$32,500
14244	0	0	$530	$33,300	$137,500
14257	2	0	$450	$20,000	$65,000
14356	3	0	$510	$50,600	$85,000
14641	4	0	$300	$33,700	$65,000
14654	4	0	$210	$46,800	$37,500
14786	4	0	$700	$199,700	$95,000
14806	4	55	$600	$51,900	$75,000
14833	1	0	$100	$36,300	$22,500
14852	2	0	$350	$13,400	$45,000
15077	1	0	$300	$36,680	$65,000
15130	1	0	$1,600	$110,000	$350,000
15163	1	0	$200	$31,500	$12,500
15391	4	0	$220	$30,000	$17,500
15439	4	55	$310	$81,300	$95,000
15451	4	0	$640	$75,900	$85,000
15602	3	3	$1,000	$22,700	$137,500
15666	0	0	$180	$9,200	$12,500
15761	4	55	$270	$28,000	$55,000
15945	4	73	$530	$125,000	$45,000
15948	4	73	$300	$44,000	$17,500
16120	0	0	$1,000	$2,600	$137,500
16130	4	0	$370	$22,250	$27,500
16314	3	3	$430	$20,800	$27,500
16417	1	0	$500	$126,440	$137,500
16453	4	73	$600	$100,000	$55,000
16476	4	55	$210	$67,800	$12,500
16539	0	0	$260	$7,300	$55,000
16641	3	3	$320	$42,100	$5,000
16664	4	73	$750	$87,300	$162,500
16682	4	73	$190	$9,600	$32,500
16778	4	55	$380	$31,200	$32,500
16880	1	0	$300	$22,700	$5,000
16951	1	0	$310	$8,500	$22,500
16955	4	0	$300	$40,000	$22,500
16975	4	0	$100	$27,800	$5,000
17269	4	0	$390	$38,420	$45,000
17277	4	0	$480	$9,760	$85,000
17394	1	0	$270	$51,850	$22,500
17493	2	0	$400	$4,200	$75,000
17625	1	0	$800	$75,000	$137,500
17702	1	0	$430	$21,400	$37,500
17828	1	0	$400	$55,500	$55,000
17856	4	73	$430	$156,000	$85,000
17857	1	0	$560	$75,000	$95,000
17988	3	97	$420	$37,100	$45,000
18062	0	0	$430	$38,000	$45,000
18086	4	0	$1,200	$81,200	$162,500
18254	4	15	$400	$28,760	$32,500
18382	1	0	$350	$59,000	$75,000
18414	1	0	$450	$27,000	$225,000
18426	4	73	$250	$40,100	$45,000
18506	4	0	$790	$134,300	$85,000
18593	1	0	$300	$12,000	$45,000
18755	2	0	$430	$75,500	$55,000
18888	4	73	$380	$50,000	$45,000
18941	1	0	$500	$43,300	$75,000
19022	1	0	$250	$66,100	$45,000
19034	1	0	$340	$40,200	$55,000
19406	4	73	$470	$22,200	$85,000
19492	4	0	$720	$44,760	$162,500
19695	4	73	$590	$32,800	$55,000
19757	2	97	$670	$47,000	$65,000
19876	3	3	$680	$136,200	$85,000
19882	4	0	$330	$51,200	$37,500
19896	4	73	$200	$8,000	$17,500
20048	4	73	$380	$30,200	$45,000
20137	1	0	$440	$74,050	$95,000
20363	2	0	$250	$35,030	$17,500
20736	1	0	$400	$63,000	$55,000
20744	2	0	$610	$16,400	$75,000
20913	1	0	$210	$95,240	$350,000
21028	1	0	$1,400	$95,000	$350,000
21043	1	0	$150	$12,600	$112,500
21057	1	0	$920	$32,440	$187,500
21087	1	0	$500	$40,100	$187,500
21136	2	0	$250	$41,840	$225,000
21215	1	0	$80	$21,280	$225,000
21251	1	0	$1,400	$107,800	$275,000
21292	1	0	$110	$29,460	$112,500
21574	1	0	$150	$8,000	$27,500
21616	1	0	$1,100	$32,800	$162,500
21643	1	0	$390	$95,820	$55,000
21645	1	0	$150	$54,720	$55,000
21661	1	0	$560	$84,200	$162,500
21673	1	0	$100	$27,940	$225,000
21684	1	0	$670	$4	$625,000
21864	1	0	$130	$87,590	$162,500
21921	1	0	$180	$33,740	$112,500
22110	1	0	$1,300	$122,920	$450,000
22127	1	0	$110	$60,000	$17,500
22264	1	0	$140	$2,920	$350,000
22282	2	0	$1,500	$16,000	$875,000
22302	2	0	$730	$58,340	$22,500
22360	1	0	$630	$26,100	$112,500
22382	1	0	$150	$41,150	$37,500
22475	1	0	$500	$77,820	$162,500
22901	2	0	$150	$54,240	$5,000
23054	1	0	$120	$6,200	$17,500
23132	1	0	$500	$52,950	$27,500
23376	2	0	$400	$47,050	$27,500
23421	2	0	$430	$44,880	$137,500
23452	1	0	$100	$12,040	$225,000
23504	1	0	$470	$47,000	$45,000
23512	1	0	$230	$6,920	$27,500
23514	1	0	$700	$90,700	$275,000
23767	4	19	$200	$18,000	$12,500
23849	1	0	$300	$85,100	$17,500
24196	4	13	$1,100	$27,400	$225,000
24247	0	0	$680	$30,300	$75,000
24670	4	13	$1,100	$82,000	$450,000
24861	4	13	$640	$33,100	$187,500
24928	4	19	$700	$61,000	$75,000
24975	4	13	$1,200	$23,000	$95,000
25038	1	25	$380	$5,000	$95,000
25137	4	13	$500	$27,500	$85,000
25553	4	13	$990	$96,000	$350,000
25560	4	13	$880	$48,500	$137,500
25705	4	13	$1,000	$70,300	$187,500
25894	4	13	$660	$60,400	$112,500
25928	4	13	$850	$29,000	$85,000
26237	0	0	$550	$31,600	$27,500
26249	1	0	$350	$38,370	$55,000
26407	4	13	$700	$18,000	$112,500
26412	4	19	$800	$16,000	$112,500
26486	0	0	$190	$10,000	$17,500
26509	4	13	$200	$28,000	$22,500
26736	4	13	$800	$3,000	$85,000
26840	4	13	$750	$50,800	$162,500
26997	0	0	$540	$64,100	$85,000
27006	4	13	$100	$16,100	$5,000
27096	4	13	$1,200	$68,000	$225,000
27122	4	27	$500	$37,000	$85,000
27611	4	19	$240	$33,800	$5,000
27807	4	13	$1,200	$38,000	$225,000
27936	4	13	$300	$30,000	$5,000
28107	4	13	$520	$30,000	$450,000
28181	0	0	$280	$62,200	$85,000
28195	4	13	$780	$30,000	$187,500
28312	0	0	$300	$38,800	$137,500
28432	4	19	$570	$142,800	$112,500
28449	4	13	$750	$48,000	$137,500
28467	4	13	$890	$98,500	$187,500
28536	1	0	$300	$13,800	$22,500
28549	1	0	$100	$1,000	$27,500
28760	4	13	$740	$50,800	$95,000
28970	4	5	$900	$65,200	$350,000
29477	4	13	$1,200	$68,100	$187,500
29574	4	13	$1,000	$52,700	$275,000
29788	4	19	$260	$32,000	$45,000
29831	4	13	$540	$40,000	$225,000
29835	4	19	$900	$72,000	$112,500
29875	2	13	$670	$14,940	$112,500
29948	4	13	$1,100	$42,900	$162,500
30123	1	0	$380	$25,700	$137,500
30150	4	13	$920	$50,300	$162,500
30226	4	13	$1,400	$65,000	$350,000
30388	4	13	$1,000	$38,000	$162,500
30546	4	13	$1,300	$36,000	$225,000
30815	0	0	$370	$70,500	$65,000
30890	4	13	$500	$39,000	$112,500
31089	4	13	$250	$12,960	$5,000
31211	4	27	$890	$70,200	$187,500
31659	4	27	$350	$28,300	$75,000
31677	4	19	$790	$42,100	$85,000
31755	4	13	$1,000	$61,000	$350,000
31894	4	27	$410	$9,200	$65,000
31972	4	13	$930	$40,800	$137,500
32201	0	0	$260	$40,600	$27,500
32465	4	13	$1,200	$24,000	$187,500
32489	0	0	$400	$27,000	$75,000
32517	2	13	$540	$19,800	$65,000
32565	4	5	$540	$70,000	$112,500
32656	4	13	$1,200	$32,800	$350,000
32704	1	0	$250	$15,150	$37,500
32793	4	19	$450	$26,000	$112,500
32811	4	13	$370	$19,300	$27,500
32835	4	13	$500	$50,000	$95,000
32925	4	13	$1,200	$51,000	$225,000
32999	1	0	$1,200	$80,000	$275,000
33042	1	0	$270	$61,000	$27,500
33195	4	13	$350	$75,620	$55,000
33242	0	0	$550	$39,000	$162,500
33283	2	13	$680	$47,000	$162,500
33308	4	13	$210	$44,000	$12,500
33338	4	13	$500	$47,780	$45,000
33391	0	0	$2,300	$114,400	$350,000
33496	4	13	$900	$65,700	$187,500
33580	4	19	$980	$63,200	$450,000
33592	4	5	$350	$110,800	$5,000
33698	1	0	$220	$13,300	$45,000
33702	4	13	$1,300	$108,000	$450,000
33749	4	13	$1,300	$61,800	$450,000
33874	4	13	$1,700	$55,200	$225,000
34045	4	13	$750	$47,200	$137,500
34459	4	13	$780	$28,500	$112,500
34652	4	19	$480	$25,580	$27,500
34661	2	13	$680	$18,800	$112,500
35007	1	0	$260	$4,700	$32,500
35302	4	27	$250	$9,000	$5,000
35317	0	0	$110	$13,200	$12,500
35377	4	13	$690	$28,730	$162,500
35482	4	27	$250	$30,000	$27,500
35655	0	0	$400	$38,290	$75,000
35741	0	0	$530	$9,900	$45,000
35788	4	13	$910	$29,000	$137,500
35795	4	13	$530	$59,500	$137,500
36140	4	19	$450	$28,100	$22,500
36454	0	0	$390	$32,000	$55,000
36539	1	0	$400	$37,000	$112,500
36881	4	13	$200	$318,000	$17,500
36978	4	13	$1,700	$261,050	$625,000
37034	4	13	$5,300	$103,001	$875,000
37181	4	13	$550	$15,260	$187,500
37186	4	13	$1,100	$90,000	$162,500
37230	4	13	$600	$28,860	$137,500
37307	4	19	$530	$12,000	$162,500
37524	1	0	$350	$37,000	$162,500
37621	0	0	$490	$45,800	$75,000
37852	4	13	$600	$46,300	$162,500
37881	0	0	$250	$9,650	$137,500
37921	4	5	$280	$92,300	$5,000
38003	4	13	$980	$43,504	$137,500
38139	1	0	$310	$32,000	$75,000
38337	4	5	$880	$78,000	$275,000
38399	1	0	$270	$62,000	$162,500
38850	4	5	$100	$29,200	$112,500
38879	4	13	$840	$51,000	$112,500
39024	4	13	$570	$83,800	$95,000
39115	1	0	$270	$82,700	$12,500
39121	1	0	$340	$47,700	$37,500
39249	4	13	$1,900	$36,000	$275,000
39486	4	13	$2,500	$50,000	$875,000
39644	4	13	$410	$27,000	$162,500
39783	4	27	$530	$50,200	$162,500
39856	4	19	$480	$11,000	$85,000
39909	1	0	$470	$25,700	$5,000
40009	4	27	$300	$192,000	$37,500
40067	4	13	$590	$32,000	$112,500
40456	0	0	$500	$14,800	$75,000
40494	0	0	$430	$8,000	$65,000
40545	4	19	$960	$40,000	$162,500
40710	0	0	$430	$12,790	$75,000
40746	4	19	$5,300	$301,000	$1,000,000
40792	4	19	$580	$33,000	$137,500
40811	1	0	$330	$28,000	$32,500
40861	4	13	$640	$60,300	$112,500
40950	4	13	$820	$44,400	$112,500
41076	1	25	$110	$14,900	$17,500
41311	4	5	$180	$19,000	$55,000
41314	4	13	$1,200	$70,000	$275,000
41505	4	19	$710	$32,250	$187,500
41508	4	13	$500	$14,400	$137,500
41754	4	5	$200	$25,600	$32,500
41764	1	0	$460	$35,800	$85,000
41862	0	0	$900	$34,400	$275,000
41973	4	19	$410	$32,800	$22,500
42312	4	13	$600	$10,450	$65,000
42381	4	27	$100	$7,100	$5,000
42483	4	13	$760	$51,000	$95,000
42492	1	0	$400	$83,600	$32,500
42587	4	13	$930	$45,060	$112,500
42866	4	13	$800	$39,000	$112,500
43285	4	13	$1,000	$112,000	$162,500
43485	3	13	$700	$42,000	$187,500
43546	4	19	$640	$72,500	$137,500
43794	4	19	$350	$24,700	$32,500
43856	4	19	$310	$50,000	$137,500
44115	4	13	$510	$16,000	$137,500
44205	4	5	$270	$52,000	$32,500
44231	1	25	$290	$38,670	$32,500
44236	4	19	$510	$40,600	$45,000
44253	4	13	$990	$116,800	$137,500
44316	4	13	$600	$25,000	$27,500
44429	0	0	$200	$35,000	$5,000
44467	4	27	$250	$160,320	$85,000
44584	1	0	$340	$7,200	$75,000
44847	4	13	$300	$83,800	$5,000
44896	4	13	$1,100	$21,000	$225,000
45040	4	13	$1,600	$73,000	$350,000
45060	1	0	$730	$0	$75,000
45209	4	13	$300	$900	$95,000
45210	4	13	$1,300	$6,900	$162,500
45242	4	5	$1,100	$246,000	$350,000
45317	4	13	$630	$45,000	$112,500
45633	4	19	$220	$34,300	$12,500
45719	4	13	$600	$20,800	$187,500
45904	4	19	$410	$32,100	$27,500
46011	1	0	$280	$9,000	$95,000
46693	1	0	$310	$6,700	$32,500
46793	4	19	$500	$185,700	$187,500
46801	4	19	$470	$28,000	$85,000
46889	1	0	$450	$17,000	$85,000
46918	4	13	$990	$28,000	$187,500
47010	4	19	$240	$15,700	$37,500
47269	4	19	$510	$25,800	$85,000
47408	1	0	$400	$32,000	$85,000
47578	2	13	$930	$29,000	$22,500
47628	4	19	$800	$81,900	$85,000
47704	4	13	$1,200	$58,000	$187,500
47741	0	0	$400	$28,700	$137,500
47756	4	13	$890	$73,500	$225,000
47781	4	13	$500	$49,800	$65,000
47803	0	0	$310	$26,800	$45,000
48002	0	0	$250	$32,800	$85,000
48145	4	13	$1,700	$83,000	$875,000
48207	1	25	$110	$11,200	$17,500
48366	1	0	$250	$55,700	$27,500
48455	4	13	$250	$22,620	$22,500
48722	4	13	$1,300	$48,900	$275,000
48934	4	13	$1,000	$59,300	$137,500
49035	1	0	$160	$26,600	$5,000
49038	1	0	$350	$14,740	$37,500
49055	4	119	$350	$6,540	$55,000
49072	4	7	$1,000	$45,030	$275,000
49169	1	0	$160	$35,000	$17,500
49193	1	0	$380	$67,000	$65,000
49257	1	0	$400	$60,600	$85,000
49258	1	0	$300	$33,000	$45,000
49274	1	0	$150	$17,000	$22,500
49320	1	0	$230	$9,500	$5,000
49333	0	0	$400	$26,000	$55,000
49425	4	143	$570	$40,800	$55,000
49542	1	0	$710	$27,370	$162,500
49595	1	0	$200	$5,800	$5,000
49729	4	143	$670	$25,960	$112,500
49819	1	0	$200	$13,150	$55,000
49990	1	0	$710	$31,000	$137,500
49996	4	0	$420	$52,300	$27,500
50005	1	0	$330	$21,200	$5,000
50037	1	0	$720	$51,900	$112,500
50167	4	0	$500	$44,100	$65,000
50204	4	7	$560	$85,200	$95,000
50289	0	0	$450	$19,000	$27,500
50319	4	143	$200	$23,400	$75,000
50412	1	0	$520	$37,450	$65,000
50484	1	0	$600	$75,000	$65,000
50549	1	0	$250	$19,500	$17,500
50687	0	0	$310	$27,610	$12,500
50694	1	0	$490	$41,600	$75,000
50754	1	0	$300	$40,000	$27,500
50761	4	0	$400	$46,000	$55,000
50842	1	0	$380	$18,390	$5,000
50903	0	0	$350	$31,000	$55,000
50909	1	0	$300	$24,500	$37,500
50920	0	0	$400	$1,000	$75,000
50945	4	7	$820	$106,800	$450,000
50975	4	143	$600	$74,200	$137,500
51058	1	0	$330	$49,100	$65,000
51065	1	0	$200	$23,000	$37,500
51099	0	0	$250	$5,000	$12,500
51103	0	0	$490	$30,000	$55,000
51179	1	0	$4,400	$192,500	$625,000
51189	1	0	$510	$82,000	$85,000
51262	1	0	$20	$25,000	$162,500
51316	1	0	$170	$113,600	$32,500
51397	4	0	$250	$20,000	$32,500
51421	1	0	$200	$23,000	$45,000
51439	1	0	$480	$67,200	$75,000
51556	1	0	$290	$7,800	$37,500
51583	0	0	$560	$33,500	$65,000
51631	4	143	$610	$32,000	$112,500
51664	1	0	$430	$65,500	$65,000
51667	1	0	$200	$28,000	$95,000
51712	4	0	$350	$58,400	$32,500
51793	1	0	$400	$14,200	$27,500
51814	1	0	$90	$69,400	$32,500
51840	1	0	$4,400	$60,000	$875,000
51848	1	0	$550	$72,200	$55,000
51946	0	0	$150	$9,800	$32,500
52024	0	0	$530	$54,380	$32,500
52093	0	0	$460	$7,600	$65,000
52189	0	0	$280	$18,000	$32,500
52238	0	0	$490	$91,000	$37,500
52409	2	119	$240	$40,000	$12,500
52414	0	0	$500	$45,700	$95,000
52420	0	0	$250	$7,700	$65,000
52501	4	119	$640	$29,595	$95,000
52546	1	0	$300	$48,344	$45,000
52548	4	143	$380	$58,000	$75,000
52552	0	0	$230	$48,000	$55,000
52683	1	0	$250	$53,000	$32,500
52704	1	0	$100	$41,000	$37,500
52706	2	119	$350	$28,200	$27,500
52766	1	0	$350	$111,000	$37,500
52870	1	0	$260	$28,000	$22,500
52900	1	0	$300	$31,000	$17,500
52925	1	0	$820	$30,000	$55,000
53092	1	0	$160	$12,200	$12,500
53142	1	0	$200	$10,000	$37,500
53229	1	0	$250	$27,000	$37,500
53298	1	0	$250	$20,000	$55,000
53368	4	0	$340	$25,500	$55,000
53382	1	0	$250	$30,400	$22,500
53467	1	0	$200	$6,580	$5,000
53528	4	7	$800	$10,800	$112,500
53586	1	0	$300	$31,300	$32,500
53649	1	0	$400	$44,000	$45,000
53743	1	0	$490	$3,200	$5,000
53896	4	7	$770	$48,000	$112,500
53947	4	0	$1,700	$65,000	$225,000
53960	4	0	$300	$87,400	$55,000
53984	1	0	$380	$9,200	$37,500
53991	4	0	$220	$10,800	$17,500
54025	0	0	$370	$28,000	$37,500
54088	1	0	$280	$29,000	$55,000
54143	1	0	$300	$25,460	$187,500
54246	1	0	$1,400	$133,500	$450,000
54252	4	0	$330	$15,000	$45,000
54288	1	0	$360	$33,100	$12,500
54302	1	0	$750	$52,500	$65,000
54400	4	0	$410	$25,530	$5,000
54476	4	0	$230	$43,000	$22,500
54549	4	0	$400	$17,980	$162,500
54593	1	0	$330	$53,000	$75,000
54614	1	0	$280	$28,000	$27,500
54641	0	0	$420	$53,500	$75,000
54643	1	0	$400	$32,000	$65,000
54693	0	0	$320	$23,340	$37,500
54769	0	0	$350	$39,800	$37,500
54936	0	0	$150	$16,800	$12,500
55058	1	0	$360	$24,200	$45,000
55100	0	0	$120	$24,200	$32,500
55162	4	0	$980	$149,000	$112,500
55307	1	0	$500	$45,200	$75,000
55323	1	0	$350	$47,000	$27,500
55406	1	0	$170	$9,800	$17,500
55518	0	0	$430	$600	$95,000
55593	4	143	$460	$83,000	$137,500
55601	4	7	$250	$12,000	$37,500
55683	4	119	$1,200	$100,000	$275,000
55722	4	143	$4,400	$213,500	$1,000,000
55742	1	0	$730	$39,730	$137,500
55811	1	0	$260	$3,500	$12,500
55820	1	0	$170	$26,600	$112,500
55826	4	0	$320	$10,000	$27,500
55827	0	0	$400	$49,400	$55,000
55985	4	0	$1,100	$79,400	$350,000
56034	1	0	$450	$30,000	$137,500
56093	0	0	$260	$42,400	$17,500
56105	4	0	$350	$24,600	$45,000
56185	1	0	$310	$44,500	$45,000
56233	1	0	$210	$7,200	$5,000
56239	4	7	$480	$11,300	$65,000
56274	1	0	$200	$10,330	$12,500
56469	1	0	$230	$67,900	$5,000
56540	1	0	$360	$28,000	$12,500
56602	1	0	$230	$60,700	$32,500
56660	1	0	$800	$63,400	$162,500
56692	4	7	$290	$25,100	$32,500
56766	4	7	$400	$0	$22,500
56801	4	0	$270	$31,300	$27,500
56822	1	0	$350	$11,100	$112,500
57001	4	119	$800	$0	$112,500
57043	0	0	$450	$19,800	$37,500
57089	4	0	$1,200	$100,000	$225,000
57141	1	0	$100	$29,300	$12,500
57147	1	0	$350	$24,810	$22,500
57154	0	0	$350	$16,400	$55,000
57191	4	0	$300	$16,400	$22,500
57241	1	0	$200	$61,100	$22,500
57311	1	0	$500	$17,600	$65,000
57316	0	0	$760	$74,500	$112,500
57335	4	0	$370	$57,000	$75,000
57341	1	0	$300	$9,750	$22,500
57385	1	0	$670	$52,000	$95,000
57439	1	0	$280	$41,300	$37,500
57601	0	0	$1,000	$49,200	$162,500
57612	1	0	$240	$32,000	$37,500
57702	1	0	$200	$20,000	$17,500
57711	1	0	$360	$9,500	$37,500
57732	1	0	$350	$24,000	$45,000
57769	4	119	$400	$125,400	$75,000
57805	2	119	$350	$49,000	$55,000
57895	1	0	$190	$32,900	$37,500
58246	1	0	$450	$28,000	$75,000
58376	4	0	$180	$6,000	$32,500
58443	0	0	$300	$40,000	$45,000
58506	1	0	$500	$52,000	$65,000
58550	1	0	$440	$63,000	$45,000
58596	2	119	$320	$20,500	$37,500
58615	4	0	$320	$7,300	$37,500
58658	1	0	$320	$38,000	$27,500
58679	0	0	$570	$40,100	$65,000
58684	1	0	$140	$7,400	$32,500
58815	1	0	$970	$80,300	$275,000
58894	0	0	$650	$29,600	$65,000
59012	1	0	$450	$25,800	$22,500
59088	4	7	$200	$15,000	$27,500
59172	4	0	$550	$48,900	$45,000
59185	1	0	$300	$23,000	$37,500
59354	1	0	$450	$27,600	$65,000
59384	0	0	$100	$9,300	$22,500
59421	1	0	$300	$43,400	$5,000
59504	1	0	$260	$12,000	$32,500
59538	0	0	$250	$39,500	$17,500
59560	1	0	$150	$30,400	$37,500
59827	0	0	$650	$17,050	$137,500
59831	4	119	$250	$14,000	$37,500
59860	0	0	$420	$36,000	$37,500
59899	0	0	$280	$27,600	$45,000
60041	1	0	$250	$45,000	$22,500
60192	0	0	$500	$30,400	$45,000
60347	4	0	$970	$78,000	$162,500
60640	1	0	$260	$16,700	$17,500
60730	4	0	$400	$43,000	$45,000
60814	1	0	$230	$30,300	$37,500
60907	1	0	$290	$25,200	$45,000
60956	1	0	$220	$9,300	$37,500
60977	1	0	$300	$42,000	$32,500
60988	4	7	$390	$6,000	$75,000
60995	4	7	$790	$42,190	$65,000
61000	1	0	$260	$30,100	$55,000
61125	1	0	$210	$72,704	$27,500
61145	1	0	$370	$13,560	$85,000
61194	4	119	$520	$22,000	$65,000
61293	0	0	$300	$41,000	$27,500
61300	1	0	$280	$32,760	$75,000
61304	0	0	$400	$119,400	$112,500
61317	0	0	$140	$74,200	$112,500
61349	2	119	$500	$46,000	$45,000
61350	1	0	$250	$52,000	$75,000
61462	1	0	$100	$5,000	$32,500
61612	1	25	$800	$124,000	$95,000
61668	3	37	$900	$60,000	$225,000
62094	4	59	$1,900	$105,000	$625,000
62198	3	37	$1,200	$16,800	$350,000
62379	2	37	$540	$27,900	$112,500
62496	2	19	$250	$19,600	$162,500
62652	3	77	$800	$23,000	$350,000
63098	2	71	$1,300	$55,000	$275,000
63254	1	25	$670	$60,000	$162,500
63307	3	37	$1,400	$33,000	$350,000
63336	1	25	$1,400	$87,000	$162,500
63351	4	65	$500	$213,000	$225,000
63354	3	37	$880	$85,000	$450,000
