Region Protraction Oil Gas
Western	North Padre Island Area	762	1617091
Western	North Padre Island Area	113	1114107
Central	West Delta Area	144387	1232063
Central	South Pelto Area	221995	2245313
Central	Chandeleur Area	26	1026194
Central	Grand Isle Area	558045	6882357
Central	South Pass Area	1711803	12154466
Central	Mississippi Canyon	15950899	56320453
Western	Galveston Area	175823	3670531
Central	South Pelto Area	183664	2752352
Central	Green Canyon	5130703	12707549
Central	West Cameron Area	324178	33523103
Central	Mobile	1546	15634211
Central	Green Canyon	7572526	20414455
Central	Sabine Pass Area	35608	390087
Central	Eugene Island Area	3668245	44557787
Central	East Cameron Area	433089	10523916
Central	Sabine Pass Area	17909	319053
Central	Vermilion Area	1585534	30004707
Central	Breton Sound Area	69478	742502
Central	South Marsh Island Area	1148219	17271023
Western	Matagorda Island Area	108071	20121328
Central	South Timbalier Area	2281984	24407797
Western	High Island Area	1096903	37245617
Central	Main Pass Area	2141470	14113365
Central	Main Pass Area	2477055	11089716
Central	South Pass Area	979957	7351124
Central	Sabine Pass Area	16430	436339
Western	Alaminos Canyon	1633043	1686397
Western	Matagorda Island Area	105060	20729666
Western	Mustang Island Area	16558	6957440
Western	Mustang Island Area	52477	875905
Western	Sabine Pass Area	436	107931
Central	Ship Shoal Area	921717	9072756
Central	Sabine Pass Area	22084	556363
Central	South Pelto Area	189441	3107391
Western	North Padre Island Area	382	1853167
Central	Grand Isle Area	622052	5846200
Western	East Breaks	2210524	24307591
Central	South Timbalier Area	2382887	17902835
Central	South Pelto Area	174714	3298254
Central	Main Pass Area	2048657	10371249
Central	Viosca Knoll	3215152	29085838
Central	South Marsh Island Area	1506206	29297313
Central	Eugene Island Area	2683214	28249707
Western	Galveston Area	120957	4257257
Western	East Breaks	2076655	20342895
Central	Main Pass Area	1881694	20731106
Central	West Cameron Area	459485	35626939
Western	Sabine Pass Area	66	138274
Western	Alaminos Canyon	923698	1001758
Western	North Padre Island Area	427	1568146
Western	High Island Area	798225	24153350
Central	Mississippi Canyon	11156101	38233094
Central	Ship Shoal Area	794410	7016954
Western	Alaminos Canyon	783710	2243299
Central	South Pass Area	1276773	7750466
Central	Main Pass Area	2122014	21088339
Western	Brazos Area	22883	9408110
Western	Mustang Island Area	9811	3903774
Central	East Cameron Area	736455	20386643
Central	Mobile	1042	12471285
Central	Grand Isle Area	603233	5553616
Western	Brazos Area	26563	13738768
Central	Chandeleur Area	26	490757
Central	Eugene Island Area	3717343	44172617
Central	Sabine Pass Area	21182	214745
Western	Galveston Area	151765	3626157
Western	High Island Area	754474	27122976
Central	Vermilion Area	345293	7920377
Central	West Delta Area	1148811	6819593
Central	Mississippi Canyon	5582119	22423939
Central	West Cameron Area	375784	29048165
Central	Main Pass Area	2602024	11441153
Central	Bay Marchand Area	38625	40561
Central	South Pelto Area	167261	3126149
Central	Mobile	444	9121365
Central	Mobile	968	11607070
Central	South Pass Area	1498801	11389558
Western	Mustang Island Area	10626	3879452
Western	Garden Banks	4333798	25722531
Central	South Pass Area	1074097	9583381
Central	Main Pass Area	2169197	25346883
Central	West Cameron Area	475111	33498873
Central	Grand Isle Area	853487	9939609
Western	North Padre Island Area	157	1300173
Central	Ewing Bank	1357869	1634986
Central	Grand Isle Area	421258	6099765
Central	South Pass Area	1988906	13753483
Central	East Cameron Area	665200	20056096
Central	South Marsh Island Area	1266783	16273535
Central	Green Canyon	6313535	15273666
Central	Eugene Island Area	3774104	44067794
Western	South Padre Island Area	0	676744
Western	Sabine Pass Area	175	147776
Central	Green Canyon	5453448	12784544
Central	Mississippi Canyon	11095656	36947157
Western	Garden Banks	2565269	14087859
Central	Ewing Bank	1842338	2801159
Central	Bay Marchand Area	67987	74693
Western	Mustang Island Area	8845	1316772
Western	Matagorda Island Area	29505	5961812
Central	Green Canyon	3587892	6487299
Central	South Pass Area	1581565	11877879
Central	South Pass Area	797316	4247519
Central	Breton Sound Area	51494	442555
Western	High Island Area	1168508	37870173
Western	Mustang Island Area	11261	4010119
Central	Ewing Bank	2907854	4475622
Western	Brazos Area	26237	13065973
Central	South Marsh Island Area	2052976	34859206
Western	East Breaks	2363733	24235710
Central	Eugene Island Area	2588892	30522011
Central	Breton Sound Area	129672	547361
Western	Mustang Island Area	7697	3373346
Western	High Island Area	683117	26050265
Central	South Pass Area	1439929	10783322
Central	Chandeleur Area	19	841727
Central	Breton Sound Area	136049	876078
Central	South Pass Area	450284	3397358
Central	Mobile	2482	13705340
Central	West Delta Area	1386647	9446131
Western	Brazos Area	19933	12443602
Central	Bay Marchand Area	12133	104574
Central	Viosca Knoll	1351448	16285707
Central	Grand Isle Area	668324	6991400
Western	North Padre Island Area	141	904748
Central	Bay Marchand Area	23266	14850
Central	Ship Shoal Area	2183620	22365817
Central	East Cameron Area	129030	4449385
Western	North Padre Island Area	363	1379488
Central	Bay Marchand Area	9287	4168
Central	West Delta Area	1705131	10705950
Central	Vermilion Area	1203927	24760358
Central	Green Canyon	6709293	16956361
Central	West Cameron Area	566704	37719616
Central	Viosca Knoll	4348209	33144620
Central	South Timbalier Area	2374876	26971178
Central	South Pass Area	1957541	11873573
Central	East Cameron Area	628568	17085067
Central	Ship Shoal Area	2323229	20703053
Central	South Marsh Island Area	1282730	11415567
Central	West Delta Area	1342145	8161323
Central	Breton Sound Area	68296	514615
Western	Matagorda Island Area	40885	8900782
Central	Ewing Bank	1953218	2852055
Central	Breton Sound Area	116764	478189
Central	Vermilion Area	1011171	17581235
Central	South Timbalier Area	1934260	24843063
Central	South Pelto Area	230176	3109604
Western	Brazos Area	7494	7444182
Western	Brazos Area	18876	9312104
Western	Mustang Island Area	19671	7595044
Central	Grand Isle Area	765691	8657916
Central	South Marsh Island Area	1047450	10308267
Central	Vermilion Area	1190745	23779398
Central	West Delta Area	2080146	14537587
Central	Ewing Bank	1686749	3151336
Central	Chandeleur Area	0	614375
Central	Breton Sound Area	124732	759456
Central	Bay Marchand Area	17759	26026
Central	Bay Marchand Area	32468	37713
Western	Sabine Pass Area	1784	174750
Central	Breton Sound Area	55414	807644
Central	Main Pass Area	1409334	9065334
Central	Bay Marchand Area	24035	16864
Western	Garden Banks	2583895	14184466
Western	Matagorda Island Area	35482	9012149
Central	South Pelto Area	192508	2917153
Central	Chandeleur Area	45	1092559
Western	Garden Banks	2686615	14753587
Central	Eugene Island Area	2656563	33414176
Western	Garden Banks	3624120	17288180
Central	East Cameron Area	482069	16853299
Western	Matagorda Island Area	30862	8147146
Central	Eugene Island Area	2783945	31665837
Central	South Timbalier Area	1992265	23423625
Central	East Cameron Area	665242	20967643
Western	Galveston Area	178982	6002596
Central	South Marsh Island Area	1213171	18855744
Central	West Cameron Area	379622	31071005
Central	South Marsh Island Area	1341310	11736320
Central	Eugene Island Area	2016661	23624635
Central	Eugene Island Area	1953115	22911817
Western	Galveston Area	199079	4129257
Central	West Cameron Area	596616	37949340
Western	North Padre Island Area	325	1684233
Western	Brazos Area	9255	7764033
Central	Viosca Knoll	2527807	23069675
Central	Mississippi Canyon	13422995	49226474
Western	Brazos Area	7155	6761824
Western	Garden Banks	2504091	14044920
Central	Mobile	2049	15280065
Western	North Padre Island Area	60	1063398
Central	East Cameron Area	317892	11344602
Central	Vermilion Area	948581	12713482
Western	Alaminos Canyon	590325	1373804
Central	Green Canyon	5794954	14466553
Central	Eugene Island Area	3669285	43193828
Western	Matagorda Island Area	106489	21862982
Western	Brazos Area	21733	12016485
Central	Mississippi Canyon	3325616	16172860
Central	South Pelto Area	196228	1952160
Central	Breton Sound Area	69696	479797
Central	Main Pass Area	2153692	13945415
Central	West Delta Area	2145258	13629401
Central	Breton Sound Area	112128	793068
Central	Ship Shoal Area	2774008	21153269
Western	East Breaks	179718	1347390
Central	South Pelto Area	289989	4281957
Western	Garden Banks	3370421	16486197
Western	Mustang Island Area	18979	1608190
Central	Mississippi Canyon	4204370	16564970
Western	Galveston Area	263625	5781388
Western	Sabine Pass Area	2850	259611
Western	Matagorda Island Area	112238	20280215
Central	Chandeleur Area	18	811359
Central	Green Canyon	7740337	20614822
Western	Brazos Area	22085	8676270
Western	Galveston Area	152861	3724634
Central	Eugene Island Area	3587323	42412458
Central	East Cameron Area	88280	4636069
Central	West Cameron Area	520821	43132663
Central	Mobile	707	11671103
Western	Mustang Island Area	6031	3481383
Central	Ewing Bank	3061703	4348471
Western	East Breaks	198630	3063711
Western	Garden Banks	3874469	21092559
Central	Ewing Bank	2633786	4898707
Western	North Padre Island Area	773	1506278
Central	Mobile	1631	10609147
Central	East Cameron Area	545325	16951337
Central	West Cameron Area	425264	29211029
Central	West Cameron Area	468719	36710164
Central	Ewing Bank	1173799	1776595
Western	North Padre Island Area	267	1506142
Central	Vermilion Area	1150897	27880092
Central	South Marsh Island Area	1052385	9256833
Central	Mobile	1492	8450295
Western	Mustang Island Area	22079	10074125
Western	Garden Banks	3901287	22823633
Central	East Cameron Area	406364	12757029
Central	West Delta Area	887245	5361436
Central	South Timbalier Area	1969224	22824742
Western	Sabine Pass Area	975	203828
Western	East Breaks	187297	2502807
Western	Brazos Area	22427	9953699
Central	Chandeleur Area	0	568989
Western	Sabine Pass Area	1974	138454
Central	Bay Marchand Area	17205	21300
Central	Breton Sound Area	53028	159835
Central	Sabine Pass Area	16024	262375
Central	Breton Sound Area	75028	952713
Central	Sabine Pass Area	16571	435566
Western	Matagorda Island Area	58938	9381364
Central	Chandeleur Area	8	285044
Central	Chandeleur Area	8	342712
Central	South Pass Area	319764	2289371
Central	Main Pass Area	2386645	11054135
Central	Breton Sound Area	74476	853350
Western	North Padre Island Area	106	1257819
Western	High Island Area	755571	26982795
Central	East Cameron Area	449142	14154848
Central	Ship Shoal Area	2230616	17633730
Central	Grand Isle Area	1065790	9065058
Western	High Island Area	817310	35716734
Central	Main Pass Area	2233081	17936036
Central	West Delta Area	1293622	8664261
Central	South Marsh Island Area	1899158	37565311
Central	Mobile	2139	15690684
Western	High Island Area	819850	30557959
Central	Viosca Knoll	3016286	29837022
Western	Mustang Island Area	1680	1499084
Central	South Timbalier Area	1653221	20611981
Central	Eugene Island Area	3260857	39022556
Central	Vermilion Area	903803	13673056
Western	North Padre Island Area	87	1302776
Central	South Pelto Area	262300	5015311
Western	Galveston Area	254693	5725104
Western	Mustang Island Area	11683	4117388
Central	Eugene Island Area	866745	11663431
Central	Mississippi Canyon	12029283	41220776
Western	Sabine Pass Area	6	34852
Western	Sabine Pass Area	0	245472
Western	East Breaks	143642	2023490
Western	High Island Area	810596	30739745
Central	South Pelto Area	137649	932834
Central	Green Canyon	4788426	12847671
Western	Galveston Area	163781	7034716
Central	Main Pass Area	2137299	21131249
Central	Ship Shoal Area	1369251	11055659
Central	South Timbalier Area	2491378	32434202
Central	West Delta Area	2140451	14066525
Central	Grand Isle Area	633640	6411831
Central	South Pass Area	1748005	12087083
Central	Grand Isle Area	670769	6679877
Western	High Island Area	1358024	38706926
Western	Garden Banks	3670175	18975113
Western	Sabine Pass Area	55	2892
Central	Vermilion Area	1182883	25030230
Western	North Padre Island Area	87	1066500
Central	Grand Isle Area	925946	10492424
Western	Sabine Pass Area	58	4204
Central	Ship Shoal Area	2755354	24047643
Central	Sabine Pass Area	11118	432718
Central	Mississippi Canyon	4255955	17174922
Western	Galveston Area	207263	5041500
Western	Galveston Area	94313	2357791
Central	South Pass Area	1242256	9640339
Central	West Delta Area	987189	5795575
Central	East Cameron Area	371755	10865383
Central	Eugene Island Area	2774176	29418483
Central	South Pass Area	2177738	14218177
Central	Sabine Pass Area	25114	231362
Western	Matagorda Island Area	35208	5047272
Central	Main Pass Area	1775775	16546359
Central	Bay Marchand Area	220	1494
Central	Bay Marchand Area	34472	40001
Central	West Delta Area	1758048	12842734
Central	Ship Shoal Area	3162475	25698525
Western	Alaminos Canyon	669353	1855871
Central	East Cameron Area	743544	21760581
Central	Chandeleur Area	14	186598
Central	Vermilion Area	905884	11741875
Western	High Island Area	825506	30593464
Central	Vermilion Area	838116	11472033
Central	Chandeleur Area	2	375181
Central	West Cameron Area	611050	39333585
Central	West Cameron Area	91591	2796542
Central	West Cameron Area	514073	37671080
Central	Mobile	2070	10451092
Western	High Island Area	767361	26602986
Western	Matagorda Island Area	91639	14040712
Central	South Pelto Area	281991	3682039
Western	Alaminos Canyon	917951	893067
Central	Vermilion Area	1326911	27996591
Western	Matagorda Island Area	50205	9398166
Western	North Padre Island Area	574	1579035
Central	Mobile	1357	8198319
Central	South Pass Area	822664	6482292
Central	West Delta Area	1788588	12076978
Central	Ship Shoal Area	828992	7993787
Western	North Padre Island Area	245	1524980
Central	East Cameron Area	350036	11003658
Central	Mobile	701	7660428
Western	Brazos Area	33994	12249478
Western	High Island Area	829253	22518500
Central	Mobile	3513	12732698
Central	Green Canyon	5971372	14945064
Central	East Cameron Area	371809	13399695
Central	Sabine Pass Area	18281	461736
Central	Ship Shoal Area	3075001	25219334
Central	Main Pass Area	1756233	16347997
Central	Mobile	1013	6087386
Western	Matagorda Island Area	23928	6257958
Western	Alaminos Canyon	655569	884417
Central	Mississippi Canyon	11336848	39903549
Western	Matagorda Island Area	41371	9248230
Western	East Breaks	1593550	15873534
Western	Galveston Area	190842	5324564
Western	Sabine Pass Area	225	19289
Central	Bay Marchand Area	17074	130782
Western	High Island Area	725710	25502014
Central	Mississippi Canyon	6653026	30910955
Western	Mustang Island Area	4283	1369432
Western	Galveston Area	156517	3440594
Central	South Pelto Area	209311	1857756
Central	Mobile	1440	12570998
Central	Vermilion Area	1222415	26384954
Central	Mississippi Canyon	11182897	39740147
Central	West Delta Area	1456339	12392835
Central	East Cameron Area	508993	15963315
Western	Brazos Area	29499	7296689
Western	Galveston Area	217221	4527303
Western	Matagorda Island Area	75829	15338581
Central	West Delta Area	1585254	10747455
Central	Ewing Bank	1829242	3245131
Central	South Marsh Island Area	1300675	16213172
Central	Vermilion Area	815277	12363051
Western	Matagorda Island Area	101709	22477235
Central	West Cameron Area	401621	29123731
Central	Sabine Pass Area	20806	554959
Central	South Pelto Area	310058	3655037
Western	Sabine Pass Area	117	162570
Central	Main Pass Area	251882	3208944
Central	Sabine Pass Area	22159	377201
Central	West Delta Area	2221709	12737299
Western	North Padre Island Area	351	1358219
Western	High Island Area	844346	27130173
Western	North Padre Island Area	325	1468942
Western	Brazos Area	16341	10217447
Central	Mississippi Canyon	15649810	53536451
Central	Green Canyon	1832313	9891950
Central	East Cameron Area	27908	3814248
Central	Bay Marchand Area	9892	31202
Western	Garden Banks	2310760	12027830
Central	Mississippi Canyon	5771214	18126963
Central	Vermilion Area	779752	13742548
Central	Ship Shoal Area	2175041	20495146
Central	Breton Sound Area	87327	970749
Western	Mustang Island Area	7440	2656038
Central	Sabine Pass Area	18085	363920
Central	South Marsh Island Area	1206281	9949828
Western	Sabine Pass Area	304	168710
Central	Bay Marchand Area	76220	108610
Western	Brazos Area	17745	7514622
Central	Vermilion Area	950532	11348283
Western	Garden Banks	3146745	19832030
Western	East Breaks	1229355	17694930
Central	West Delta Area	1263733	8441215
Central	Vermilion Area	1390753	28527540
Western	High Island Area	1314185	44392963
Central	Ship Shoal Area	1739798	13426116
Western	Brazos Area	24263	7530906
Central	Bay Marchand Area	63570	43418
Central	Mobile	1043	12432187
Central	Vermilion Area	868971	13463462
Central	Chandeleur Area	142	368708
Central	Green Canyon	5586814	14326906
Central	Ship Shoal Area	2377819	18165046
Western	Brazos Area	15340	9510460
Central	East Cameron Area	610440	19925602
Central	Viosca Knoll	3456466	28778582
Central	Mobile	410	8962358
Western	East Breaks	556786	6722493
Central	South Pelto Area	235985	2524960
Western	Brazos Area	27149	12736569
Central	West Cameron Area	963941	39855201
Central	Vermilion Area	979830	11086710
Central	Grand Isle Area	730784	7832569
Central	South Pelto Area	246357	3744357
Western	Mustang Island Area	13459	5223653
Central	Mobile	2486	9113586
Western	East Breaks	260572	3371434
Western	Matagorda Island Area	21948	5596396
Central	Viosca Knoll	264609	8205788
Central	West Cameron Area	547478	37538621
Central	Vermilion Area	1270789	25393535
Central	Vermilion Area	866873	11479110
Western	North Padre Island Area	61	937214
Western	Mustang Island Area	14450	5217140
Central	Grand Isle Area	747966	7743139
Central	Ewing Bank	1798118	4288704
Central	South Marsh Island Area	1305456	12363562
Central	South Timbalier Area	1381313	11181768
Central	Mobile	1892	16727676
Central	Main Pass Area	2378395	18996569
Central	Grand Isle Area	613414	7057252
Central	West Cameron Area	685585	37414755
Central	Mobile	574	8571106
Central	Ship Shoal Area	1386972	10681865
Central	South Marsh Island Area	1148384	9987776
Western	East Breaks	225032	2305714
Central	Green Canyon	2357793	9717495
Central	Sabine Pass Area	13436	450413
Western	Mustang Island Area	4327	2301355
Central	Ewing Bank	1425601	2077070
Western	Mustang Island Area	28211	8975023
Central	West Cameron Area	379824	27062853
Central	Mississippi Canyon	8925546	34506553
Central	Mississippi Canyon	7237762	23509656
Western	Mustang Island Area	19923	7238427
Central	South Pass Area	1087203	10166420
Central	Ewing Bank	2024877	3597667
Central	Sabine Pass Area	18255	426213
Central	Green Canyon	1264326	8240069
Western	Sabine Pass Area	329	263571
Western	East Breaks	647205	8557344
Central	South Pass Area	835776	4916715
Western	High Island Area	1328894	44075687
Central	Mississippi Canyon	9884331	35925160
Central	South Timbalier Area	2367512	24375071
Western	Galveston Area	155603	3342177
Western	Mustang Island Area	8088	3511685
Central	Mobile	2212	12235560
Central	Viosca Knoll	2647605	20507059
Central	West Cameron Area	601031	36483774
Central	Grand Isle Area	950088	13060598
Central	West Cameron Area	375387	30346165
Central	Mississippi Canyon	16335864	56528072
Central	Bay Marchand Area	7837	76069
Western	High Island Area	591477	14898558
Central	South Timbalier Area	2447676	24753322
Central	Grand Isle Area	869654	6211484
Western	Matagorda Island Area	110680	17366028
Central	Grand Isle Area	797351	9141202
Central	Chandeleur Area	73	327321
Central	Bay Marchand Area	16093	11989
Central	East Cameron Area	479792	10619896
Western	Matagorda Island Area	87703	18766150
Western	Mustang Island Area	11438	3822408
Central	Eugene Island Area	3710781	41380579
Central	West Cameron Area	160016	15829953
Central	Bay Marchand Area	32554	37502
Central	Chandeleur Area	49	374209
Central	Mississippi Canyon	6328075	20616934
Central	South Pass Area	1415308	10730552
Central	West Delta Area	2182126	13583935
Central	Eugene Island Area	2915037	35626120
Western	Mustang Island Area	7124	1736436
Western	Alaminos Canyon	799248	821666
Western	Garden Banks	3557150	18145714
Central	Main Pass Area	2289407	19931067
Central	Ship Shoal Area	2255017	22174679
Central	Main Pass Area	1750264	8786246
Central	Breton Sound Area	96799	600450
Central	South Timbalier Area	1600188	18785175
Central	Ship Shoal Area	756911	7751517
Western	High Island Area	751528	25923906
Central	Grand Isle Area	547216	5767037
Central	Mobile	937	11293514
Central	Green Canyon	1678671	9948574
Central	Breton Sound Area	87167	649294
Central	Breton Sound Area	5827	15839
Central	Chandeleur Area	19	287993
Western	Garden Banks	3387807	16432045
Central	Eugene Island Area	2440483	26139391
Central	Sabine Pass Area	15836	327768
Central	South Pass Area	1309437	6660459
Central	Mobile	912	6770918
Western	Mustang Island Area	10152	2671520
Western	Matagorda Island Area	103437	21104095
Western	Sabine Pass Area	45	6211
Western	High Island Area	748923	30041359
Central	South Pass Area	852949	6786338
Central	Mobile	2234	14833814
Central	Green Canyon	7275185	19146164
Western	Mustang Island Area	9812	4460341
Western	Sabine Pass Area	1483	209946
Central	East Cameron Area	510137	16960967
Western	Galveston Area	146791	3417127
Western	Garden Banks	4339734	25531370
Central	West Cameron Area	399262	33225762
Central	Ewing Bank	1747097	3289450
Central	Chandeleur Area	17	477268
Central	South Timbalier Area	2578307	22117654
Western	Garden Banks	4656000	27074198
Central	Bay Marchand Area	93830	140339
Central	Mobile	982	11547369
Central	Breton Sound Area	91598	543294
Central	Bay Marchand Area	57752	49519
Central	Green Canyon	5537163	13599548
Western	North Padre Island Area	228	1270019
Central	South Pass Area	1426141	10976850
Central	West Delta Area	1537575	10628236
Central	West Cameron Area	458219	35319005
Central	South Pass Area	1849840	10474421
Central	Bay Marchand Area	7034	2818
Central	South Pass Area	2027432	11557902
Central	Mississippi Canyon	13749911	48565351
Central	South Pass Area	1719463	9713246
Western	Matagorda Island Area	76630	15870995
Central	West Cameron Area	432948	33157995
Western	Brazos Area	28871	11362302
Central	East Cameron Area	307251	9077414
Central	South Timbalier Area	2164781	25087451
Central	Main Pass Area	2135250	21270897
Central	South Marsh Island Area	1205399	12910390
Central	Eugene Island Area	2618865	31056725
Central	West Cameron Area	713735	34570832
Central	Mississippi Canyon	3296985	14032303
Western	Garden Banks	4607875	17147910
Central	Ship Shoal Area	1479227	12119667
Western	Sabine Pass Area	4	27582
Western	Alaminos Canyon	825883	937818
Central	Ewing Bank	1666163	3389384
Central	Main Pass Area	1072633	6830023
Central	Ewing Bank	1905771	3600987
Central	Bay Marchand Area	17634	16075
Central	South Timbalier Area	1984752	26197937
Western	South Padre Island Area	0	749040
Central	East Cameron Area	510966	19802185
Western	Mustang Island Area	51347	1426475
Central	Viosca Knoll	1037803	9606667
Central	Grand Isle Area	955038	7229386
Central	Sabine Pass Area	13809	361780
Western	Galveston Area	160696	6767135
Central	Vermilion Area	1303574	28148932
Central	South Pelto Area	179047	2134854
Central	Breton Sound Area	69797	788685
Central	West Cameron Area	233839	16413968
Central	Sabine Pass Area	18633	382379
Central	South Timbalier Area	2119844	30530044
Western	East Breaks	2110904	19979720
Central	South Marsh Island Area	1118356	11211911
Central	Sabine Pass Area	20229	287592
Central	Main Pass Area	1664693	20453641
Central	Mississippi Canyon	7535960	31727335
Central	Breton Sound Area	53964	256197
Western	Brazos Area	6244	3626149
Central	Ewing Bank	2253619	3401700
Central	South Marsh Island Area	1411720	12699905
Western	Galveston Area	377658	7307284
Central	Breton Sound Area	50605	674152
Central	Viosca Knoll	3217197	24547990
Central	Ship Shoal Area	1989902	15231507
